Type;Component;Input (delta) [%];Speed [m/second];Energy (Well to tank) [J];CO2 (Well to tank) [kg];SOx (Well to tank) [kg];CH4 (Well to tank) [kg];NOx (Well to tank) [kg];PM (Well to tank) [kg];CO2 [kg];SOx [kg];Energy [J];CH4 [kg];NOx [kg];PM [kg];GWP [kg];NPV [EUR];Fuel Consumption [kg]
Tanker SuezMax FS;Electrical;-44;2.880889;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-44;2.880889;14250400205.093122;-458.266647;0.520753;0.191323;0.277199;0.149097;529.297518;0.0;7582782204.081632;0.0;3.3926019999999997;0.006128;76.387916;-423.590401;367.10177799999997
Tanker SuezMax FS;Electrical;-42;2.983778;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-42;2.983778;15386767557.337748;-494.810129;0.562279;0.20658;0.299304;0.160986;571.505204;0.0;8187454775.510203;0.0;3.6631379999999996;0.0066170000000000005;82.47930500000001;-457.3687019999999;396.375516
Tanker SuezMax FS;Electrical;-40;3.086667;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-40;3.086667;16523134909.582369;-531.353612;0.6038060000000001;0.221836;0.321409;0.172876;613.71289;0.0;8792127346.938776;0.0;3.933673;0.007106;88.570695;-491.14700300000004;425.64925300000004
Tanker SuezMax FS;Electrical;-38;3.189556;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-38;3.189556;18660855671.230675;-600.098778;0.681925;0.250537;0.362992;0.195242;693.113488;0.0;9929630204.08163;0.0;4.442602;0.008025;100.029744;-554.690341;480.71865999999994
Tanker SuezMax FS;Electrical;-36;3.292444;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-36;3.292444;20798576432.878983;-668.8439440000001;0.760043;0.279238;0.404575;0.217608;772.514086;0.0;11067133061.224491;0.0;4.951531;0.008945;111.48879299999999;-618.233678;535.788068
Tanker SuezMax FS;Electrical;-34;3.3953330000000004;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-34;3.3953330000000004;22936297194.527283;-737.58911;0.8381620000000001;0.307938;0.446158;0.23997399999999997;851.914683;0.0;12204635918.367346;0.0;5.460458999999999;0.009864;122.947842;-681.777016;590.857475
Tanker SuezMax FS;Electrical;-32;3.498222;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-32;3.498222;25074017956.175587;-806.334275;0.9162809999999999;0.33663899999999997;0.487741;0.262341;931.315281;0.0;13342138775.510204;0.0;5.9693879999999995;0.010783;134.406891;-745.320354;645.926882
Tanker SuezMax FS;Electrical;-30;3.601111;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-30;3.601111;27211738717.823887;-875.079441;0.9944;0.36533899999999997;0.529324;0.28470700000000004;1010.715878;0.0;14479641632.653059;0.0;6.478316;0.011703;145.86594;-808.863692;700.99629
Tanker SuezMax FS;Electrical;-28;3.704;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-28;3.704;29349459479.47218;-943.824607;1.072519;0.39404;0.5709069999999999;0.307073;1090.116476;0.0;15617144489.795912;0.0;6.987245;0.012622;157.324989;-872.4070300000001;756.065697
Tanker SuezMax FS;Electrical;-26;3.806889;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-26;3.806889;31487180241.1205;-1012.569773;1.1506379999999998;0.422741;0.61249;0.329439;1169.517074;0.0;16754647346.938774;0.0;7.496173;0.013541;168.78403799999998;-935.950368;811.135104
Tanker SuezMax FS;Electrical;-24;3.9097779999999998;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
