Type;Input (delta) [%];Speed [m/second];CO2 (Well to tank) [kg];SOx (Well to tank) [kg];CH4 (Well to tank) [kg];PM (Well to tank) [kg];Energy (Well to tank) [J];NOx (Well to tank) [kg];GWP [kg];NOx [kg];PM [kg];CH4 [kg];SOx [kg];CO2 [kg];Energy [J];NPV [EUR];Fuel Consumption [kg]
Tanker_SuezMax_FS;-94;0.309;-316.95099999999996;0.36;0.132;0.10300000000000001;9856017827.389;0.192;52.832;2.346;0.004;0.0;0.0;366.079;5244486857.143;-292.968;253.899
Tanker_SuezMax_FS;-92;0.41200000000000003;-319.226;0.363;0.133;0.10400000000000001;9926739416.496;0.193;53.211000000000006;2.363;0.004;0.0;0.0;368.705;5282118530.612;-295.07;255.72099999999998
Tanker_SuezMax_FS;-90;0.514;-321.5;0.365;0.134;0.105;9997461005.603;0.19399999999999998;53.59;2.38;0.004;0.0;0.0;371.332;5319750204.082;-297.173;257.543
Tanker_SuezMax_FS;-88;0.617;-323.774;0.368;0.135;0.105;10068182594.711;0.196;53.97;2.397;0.004;0.0;0.0;373.959;5357381877.551;-299.275;259.36400000000003
Tanker_SuezMax_FS;-86;0.72;-326.04900000000004;0.371;0.136;0.106;10138904183.818;0.19699999999999998;54.349;2.414;0.004;0.0;0.0;376.586;5395013551.02;-301.377;261.186
Tanker_SuezMax_FS;-84;0.823;-328.32300000000004;0.373;0.13699999999999998;0.107;10209625772.925;0.19899999999999998;54.728;2.431;0.004;0.0;0.0;379.212;5432645224.49;-303.47900000000004;263.008
Tanker_SuezMax_FS;-82;0.9259999999999999;-330.597;0.376;0.138;0.10800000000000001;10280347362.032;0.2;55.107;2.447;0.004;0.0;0.0;381.839;5470276897.959001;-305.58099999999996;264.83
Tanker_SuezMax_FS;-80;1.0290000000000001;-332.871;0.37799999999999995;0.139;0.10800000000000001;10351068951.139;0.201;55.486000000000004;2.464;0.004;0.0;0.0;384.466;5507908571.429;-307.684;266.652
Tanker_SuezMax_FS;-78;1.1320000000000001;-347.189;0.395;0.145;0.113;10796293500.746;0.21;57.873000000000005;2.57;0.005;0.0;0.0;401.00300000000004;5744817061.224;-320.918;278.121
Tanker_SuezMax_FS;-76;1.235;-361.50699999999995;0.41100000000000003;0.151;0.11800000000000001;11241518050.352;0.21899999999999997;60.25899999999999;2.676;0.005;0.0;0.0;417.54;5981725551.02;-334.152;289.591
Tanker_SuezMax_FS;-74;1.338;-375.824;0.42700000000000005;0.157;0.122;11686742599.959;0.22699999999999998;62.646;2.782;0.005;0.0;0.0;434.077;6218634040.816;-347.38599999999997;301.06
Tanker_SuezMax_FS;-72;1.44;-390.142;0.44299999999999995;0.163;0.127;12131967149.565;0.23600000000000002;65.032;2.888;0.005;0.0;0.0;450.61300000000006;6455542530.6119995;-360.62;312.529
Tanker_SuezMax_FS;-70;1.5430000000000001;-404.459;0.46;0.16899999999999998;0.132;12577191699.171001;0.245;67.419;2.9939999999999998;0.005;0.0;0.0;467.15;6692451020.408001;-373.855;323.999
Tanker_SuezMax_FS;-68;1.646;-418.777;0.47600000000000003;0.175;0.136;13022416248.778;0.253;69.805;3.1;0.006;0.0;0.0;483.68699999999995;6929359510.204;-387.089;335.468
Tanker_SuezMax_FS;-66;1.749;-433.095;0.49200000000000005;0.18100000000000002;0.141;13467640798.383999;0.262;72.192;3.2060000000000004;0.006;0.0;0.0;500.224;7166268000.0;-400.32300000000004;346.93699999999995
Tanker_SuezMax_FS;-64;1.8519999999999999;-447.412;0.508;0.187;0.146;13912865347.991001;0.271;74.579;3.312;0.006;0.0;0.0;516.761;7403176489.796;-413.55699999999996;358.407
Tanker_SuezMax_FS;-62;1.955;-461.73;0.525;0.193;0.15;14358089897.597;0.27899999999999997;76.965;3.418;0.006;0.0;0.0;533.297;7640084979.591999;-426.791;369.876
Tanker_SuezMax_FS;-60;2.0580000000000003;-476.04699999999997;0.541;0.19899999999999998;0.155;14803314447.203999;0.28800000000000003;79.352;3.5239999999999996;0.006;0.0;0.0;549.8340000000001;7876993469.3880005;-440.026;381.345
Tanker_SuezMax_FS;-58;2.161;-512.591;0.5820000000000001;0.214;0.16699999999999998;15939681799.448;0.31;85.443;3.795;0.006999999999999999;0.0;0.0;592.0419999999999;8481666040.816;-473.80400000000003;410.619
